"вопрос","ответ"
"Сколько планет в Солнечной системе?","8"
"Какая планета известна кольцами?","Сатурн"
"Как называется спутник Земли?","Луна"
"Какое животное является самым большим на Земле?","Синий кит"
"Как называется процесс, когда растения получают энергию от солнца?","Фотосинтез"
"Какая стихия вызывает землетрясения?","Земная кора (тектонические плиты)"
"Какое животное откладывает яйца, но кормит детёнышей молоком?","Утконос"
"Что образуется при замерзании воды?","Лёд"
"Как называется самая большая звезда в нашей Солнечной системе?","Солнце"
"Какой газ растения поглощают из атмосферы?","Углекислый газ"
