"вопрос","ответ"
"Определи падеж слова 'лес' в предложении: Мы гуляли по лесу.","Творительный"
"В каком падеже стоит слово 'книга'? Я читаю книгу.","Винительный"
"Назови падеж слова 'друг' в предложении: Я рассказал о друге.","Предложный"
"Определи падеж слова 'солнце' в предложении: Утро озарено солнцем.","Творительный"
"В каком падеже слово 'мама'? Письмо от мамы.","Родительный"
"Определи падеж слова 'стол' в предложении: Цветы стоят на столе.","Предложный"
"Назови падеж слова 'река' в предложении: Мы подошли к реке.","Дательный"
"В каком падеже слово 'врач'? Врач осмотрел пациента.","Именительный"
"Определи падеж слова 'сирень' в предложении: Нет сирени в саду.","Родительный"
"Назови все падежи русского языка в порядке изучения.","Именительный, Родительный, Дательный, Винительный, Творительный, Предложный"
